mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	crescendo_hairpin
1	1	0	0	0.0	0	0	StaffText	3/4	1	1	0						Andante		
1	1	0	0	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	0					
1	1	1	1	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	1		articTenutoAbove		0	
1	1	5/2	5/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	2				0	
1	1	0	0	3.0	0	0	Chord	3/4	1	2	3/4	1/2	3/2	3					
1	1	0	0	0.0	0	0	Dynamic	3/4	2	1	0				p				
1	1	0	0	0.0	0	0	StaffText	3/4	2	1	0						cantabile		
1	1	0	0	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	4					
2	2	3	3	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	5					
2	2	5	5	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	6		articTenutoAbove		1	
2	2	3	3	3.0	0	0	Chord	3/4	1	2	3/4	1/2	3/2	7					
2	2	3	3	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	8					
3	3	6	6	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	9					
3	3	7	7	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	10		articTenutoAbove		2	
3	3	8	8	0.0	1/2	1/2	Spanner	3/4	1	1	0							2	0
3	3	17/2	17/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	11				2	0
3	3	35/4	35/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	12				2	0
3	3	6	6	2.0	0	0	Chord	3/4	1	2	1/2	1/2	1	13					0
3	3	8	8	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	14					0
3	3	6	6	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	15					
3	3	8	8	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	16					
4	4	9	9	0.0	0	0	Spanner	3/4	1	1	0								
4	4	9	9	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	17					
4	4	11	11	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	18					
4	4	9	9	2.0	0	0	Chord	3/4	1	2	1/2	1/2	1	19					
4	4	11	11	0.0	1/2	1/2	StaffText	3/4	1	2	0						cresc.		
4	4	11	11	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	20					
4	4	9	9	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	21					
4	4	11	11	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	22					
5	5	12	12	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	23					
5	5	13	13	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	24		articTenutoAbove		3	
5	5	29/2	29/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	25				3	
5	5	12	12	3.0	0	0	Chord	3/4	1	2	3/4	1/2	3/2	26					
5	5	12	12	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	27					
6	6	15	15	0.0	0	0	Dynamic	3/4	1	1	0				mf				
6	6	15	15	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	28					
6	6	17	17	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	29		articTenutoAbove			
6	6	15	15	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	30					
6	6	17	17	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	31					
7	7	18	18	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	32				4	
7	7	37/2	37/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	33					
7	7	19	19	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	34				5	
