mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	crescendo_hairpin
1	1	0	0	0.0	0	0	StaffText	3/4	1	1	0						"Poco piu mosso

"		
1	1	0	0	0.0	0	0	Dynamic	3/4	1	1	0				p				
1	1	0	0	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	0					
1	1	1	1	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	1		articTenutoAbove		0	
1	1	5/2	5/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	2				0	
1	1	1/4	1/4	0.0	1/16	1/16	StaffText	3/4	2	1	0						m.d.		
1	1	1/4	1/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16	1/16	1	3				1	
1	1	1/2	1/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16	1/16	1	4				1	
1	1	3/4	3/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	5					
1	1	5/4	5/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16	1/16	1	6				2	
1	1	3/2	3/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16	1/16	1	7				2	
1	1	7/4	7/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	8				2	
1	1	2	2	0.25	1/2	1/2	Chord	3/4	2	1	1/16	1/16	1	9					
1	1	9/4	9/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16	1/16	1	10					
1	1	5/2	5/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16	1/16	1	11					
1	1	11/4	11/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16	1/16	1	12					
1	1	1/4	1/4	0.0	1/16	1/16	StaffText	3/4	2	2	0						il basso poco marcato		
1	1	1/4	1/4	0.75	1/16	1/16	Chord	3/4	2	2	3/16	1/8	3/2	13		articStaccatoBelow			
1	1	5/4	5/4	0.75	5/16	5/16	Chord	3/4	2	2	3/16	1/8	3/2	14		articStaccatoBelow			
1	1	9/4	9/4	0.75	9/16	9/16	Chord	3/4	2	2	3/16	1/8	3/2	15		articStaccatoBelow			
2	2	3	3	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	16					
2	2	4	4	0.0	1/4	1/4	StaffText	3/4	1	3	0						"m.g.
"		
2	2	4	4	0.5	1/4	1/4	Chord	3/4	1	3	1/8	1/8	1	17					
2	2	13/4	13/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16	1/16	1	18				3	
2	2	7/2	7/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16	1/16	1	19				3	
2	2	15/4	15/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	20					
2	2	17/4	17/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16	1/16	1	21				4	
2	2	9/2	9/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16	1/16	1	22				4	
2	2	19/4	19/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	23					
2	2	21/4	21/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16	1/16	1	24				5	
2	2	11/2	11/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16	1/16	1	25				5	
2	2	23/4	23/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16	1/16	1	26					
2	2	13/4	13/4	0.75	1/16	1/16	Chord	3/4	2	2	3/16	1/8	3/2	27		articStaccatoBelow			
2	2	5	5	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	28		articStaccatoBelow			
3	3	6	6	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	29					
3	3	7	7	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	30		articTenutoAbove			
3	3	8	8	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	31					
3	3	33/4	33/4	0.5	9/16	9/16	Chord	3/4	1	1	1/8	1/8	1	32				6	
3	3	35/4	35/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	33				6	
3	3	25/4	25/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16	1/16	1	34				7	
3	3	13/2	13/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16	1/16	1	35				7	
3	3	27/4	27/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	36					
3	3	29/4	29/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16	1/16	1	37				8	
3	3	15/2	15/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16	1/16	1	38					
3	3	31/4	31/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	39					
3	3	8	8	0.25	1/2	1/2	Chord	3/4	2	1	1/16	1/16	1	40					
3	3	33/4	33/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16	1/16	1	41					
3	3	17/2	17/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16	1/16	1	42					
3	3	35/4	35/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16	1/16	1	43					
3	3	25/4	25/4	0.75	1/16	1/16	Chord	3/4	2	2	3/16	1/8	3/2	44		articStaccatoBelow			
3	3	29/4	29/4	0.75	5/16	5/16	Chord	3/4	2	2	3/16	1/8	3/2	45		articStaccatoBelow			
3	3	33/4	33/4	0.75	9/16	9/16	Chord	3/4	2	2	3/16	1/8	3/2	46		articStaccatoBelow			
3	3	8	8	1.0	1/2	1/2	Chord	3/4	2	3	1/4	1/4	1	47					
4	4	9	9	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	48					
4	4	10	10	0.0	1/4	1/4	StaffText	3/4	1	3	0						m.g.		
4	4	10	10	0.5	1/4	1/4	Chord	3/4	1	3	1/8	1/8	1	49					
4	4	37/4	37/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16	1/16	1	50				9	
4	4	19/2	19/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16	1/16	1	51				9	
4	4	39/4	39/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	52					
4	4	41/4	41/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16	1/16	1	53				10	
4	4	21/2	21/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16	1/16	1	54				10	
4	4	43/4	43/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	55					
4	4	45/4	45/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16	1/16	1	56				11	
4	4	23/2	23/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16	1/16	1	57				11	
4	4	47/4	47/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16	1/16	1	58					
4	4	37/4	37/4	0.75	1/16	1/16	Chord	3/4	2	2	3/16	1/8	3/2	59		articStaccatoBelow			
4	4	11	11	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	60		articStaccatoBelow			
5	5	12	12	0.0	0	0	StaffText	3/4	1	1	0						cresc.		
5	5	12	12	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	61					
5	5	13	13	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	62		articTenutoAbove		12	
5	5	29/2	29/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	63				12	
5	5	49/4	49/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16	1/16	1	64				13	
5	5	25/2	25/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16	1/16	1	65				13	
5	5	51/4	51/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	66					
5	5	53/4	53/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16	1/16	1	67				14	
5	5	27/2	27/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16	1/16	1	68					
5	5	55/4	55/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	69					
5	5	14	14	0.25	1/2	1/2	Chord	3/4	2	1	1/16	1/16	1	70					
5	5	57/4	57/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16	1/16	1	71					
5	5	29/2	29/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16	1/16	1	72					
5	5	59/4	59/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16	1/16	1	73					
5	5	49/4	49/4	0.75	1/16	1/16	Chord	3/4	2	2	3/16	1/8	3/2	74		articStaccatoBelow			
5	5	53/4	53/4	0.75	5/16	5/16	Chord	3/4	2	2	3/16	1/8	3/2	75		articStaccatoBelow			
5	5	57/4	57/4	0.75	9/16	9/16	Chord	3/4	2	2	3/16	1/8	3/2	76		articStaccatoBelow			
6	6	15	15	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	77					
6	6	17	17	0.0	1/2	1/2	StaffText	3/4	1	1	0						dim.		
6	6	17	17	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	78		articTenutoAbove			
6	6	61/4	61/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16	1/16	1	79				15	
6	6	31/2	31/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16	1/16	1	80				15	
6	6	63/4	63/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	81				15	
6	6	16	16	0.25	1/4	1/4	Chord	3/4	2	1	1/16	1/16	1	82				15	
6	6	65/4	65/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16	1/16	1	83				15	
6	6	33/2	33/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16	1/16	1	84				15	
6	6	67/4	67/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	85					
